species_label,gbif_scientific_name,lat,lng,province,region_code,date,dataset
非洲大蜗牛,"Achatina fulica Bowdich, 1822",22.300928,114.170349,,HK,2006-11-16T00:00,
非洲大蜗牛,"Achatina fulica Bowdich, 1822",22.27298,114.14296,Hong Kong,HK,1967-06-01/1967-06-30,
非洲大蜗牛,"Achatina fulica Bowdich, 1822",23.195656,121.380992,,TW,2012-01-31,
非洲大蜗牛,"Achatina fulica Bowdich, 1822",24.840633,121.941367,,TW,2012-12-21,
非洲大蜗牛,"Achatina fulica Bowdich, 1822",23.74244,119.61965,,TW,2009-07-27,
非洲大蜗牛,"Achatina fulica Bowdich, 1822",23.57664,119.62201,,TW,2009-07-31,
非洲大蜗牛,"Achatina fulica Bowdich, 1822",23.21303,119.43672,,TW,2009-07-29,
非洲大蜗牛,"Achatina fulica Bowdich, 1822",23.56014,119.59484,,TW,2009-07-31,
非洲大蜗牛,"Achatina fulica Bowdich, 1822",23.52608,119.59565,,TW,2009-08-27,
非洲大蜗牛,"Achatina fulica Bowdich, 1822",23.55119,119.54753,,TW,2009-10-30,
非洲大蜗牛,"Achatina fulica Bowdich, 1822",23.35963,119.5259,,TW,2009-10-31,
非洲大蜗牛,"Achatina fulica Bowdich, 1822",23.36628,119.53644,,TW,2009-10-31,
非洲大蜗牛,"Achatina fulica Bowdich, 1822",23.61811,119.57062,,TW,2009-11-01,
非洲大蜗牛,"Achatina fulica Bowdich, 1822",24.79823,121.35296,,TW,2008-02-19,
非洲大蜗牛,"Achatina fulica Bowdich, 1822",24.56844,121.09516,,TW,2008-02-26,
非洲大蜗牛,"Achatina fulica Bowdich, 1822",24.39709,120.92788,,TW,2008-03-18,
非洲大蜗牛,"Achatina fulica Bowdich, 1822",24.40059,120.90918,,TW,2008-03-18,
非洲大蜗牛,"Achatina fulica Bowdich, 1822",24.45842,120.9139,,TW,2008-03-18,
非洲大蜗牛,"Achatina fulica Bowdich, 1822",24.58502,120.75348,,TW,2008-03-19,
非洲大蜗牛,"Achatina fulica Bowdich, 1822",24.49842,120.67224,,TW,2008-03-19,
非洲大蜗牛,"Achatina fulica Bowdich, 1822",24.76524,120.90401,,TW,2008-03-28,
非洲大蜗牛,"Achatina fulica Bowdich, 1822",24.75213,121.03127,,TW,2008-04-25,
